2025-10-18 12:32:02,096 - Epoch 1/100
2025-10-18 12:32:34,009 - Epoch 1/100
2025-10-18 12:37:31,568 - Epoch 1/100
2025-10-18 12:38:54,514 - Epoch 1/100
2025-10-21 11:31:18,459 - Epoch 1/100
2025-10-21 12:10:52,414 - Epoch 1/100
2025-10-21 12:11:49,164 - Epoch 1/100
2025-10-21 12:12:06,461 - Epoch 1/100
2025-10-21 14:33:03,045 - Epoch 1/100
2025-10-21 14:33:24,792 - Epoch 1/100
2025-10-21 14:34:10,694 - Epoch 1/100
2025-10-21 14:35:20,231 - Epoch 1/100
2025-10-21 16:34:09,291 - Epoch 1/100
2025-10-22 14:17:36,747 - Epoch 1/100
2025-10-22 14:17:54,274 - Epoch 1/100
2025-10-22 14:18:13,668 - Epoch 1/100
2025-10-22 14:18:29,666 - Epoch 1/100
2025-10-22 21:28:14,345 - Epoch 1/100
2025-10-22 21:28:28,402 - Epoch 1/100
2025-10-22 21:35:49,481 - Epoch 1/100
2025-10-22 21:36:11,041 - Epoch 1/100
2025-10-23 01:00:28,741 - Epoch 1/100
2025-10-23 10:27:03,198 - Epoch 1/100
2025-10-23 10:32:55,898 - Epoch 1/100
2025-10-23 10:37:41,590 - Epoch 1/100
2025-10-23 10:38:04,811 - Epoch 1/100
2025-10-23 10:38:24,989 - Epoch 1/100
2025-10-23 10:39:53,217 - Epoch 1/100
2025-10-23 10:40:38,221 - Epoch 1/100
2025-10-23 10:42:42,026 - Epoch 1/100
2025-10-23 10:43:33,997 - Epoch 1/100
2025-10-23 10:47:07,513 - Epoch 1/100
2025-10-23 10:47:41,036 - Epoch 1/100
2025-10-23 10:48:36,497 - Epoch 1/100
2025-10-23 10:49:08,145 - Epoch 1/100
2025-10-23 10:56:43,887 - Epoch 1/100
2025-10-23 10:59:01,273 - Epoch 1/100
2025-10-23 11:00:43,781 - Epoch 1/100
2025-10-23 11:01:11,763 - Epoch 1/100
2025-10-23 11:02:17,338 - Epoch 1/100
2025-10-23 11:02:44,551 - Epoch 1/100
2025-10-23 11:03:20,892 - Epoch 1/100
2025-10-23 11:04:05,398 - Epoch 1/100
2025-10-23 11:05:53,225 - Epoch 1/100
2025-10-23 11:06:09,482 - Epoch 1/100
2025-10-23 11:06:54,003 - Epoch 1/100
2025-10-23 11:08:15,010 - Epoch 1/100
2025-10-23 11:09:35,316 - Epoch 1/100
2025-10-23 11:10:11,091 - Epoch 1/100
2025-10-23 11:10:40,815 - Epoch 1/100
2025-10-23 13:23:24,815 - Epoch 1/100
2025-10-23 13:23:46,880 - Epoch 1/100
2025-10-23 13:24:27,251 - Epoch 1/100
2025-10-23 13:43:19,114 - Epoch 1/100
2025-10-23 13:43:43,657 - Epoch 1/100
2025-10-23 13:44:01,728 - Epoch 1/100
2025-10-23 13:44:53,734 - Epoch 1/100
2025-10-23 13:45:19,030 - Epoch 1/100
2025-10-23 13:46:03,648 - Epoch 1/100
2025-10-23 14:01:40,739 - Epoch 1/100
2025-10-23 23:22:17,052 - Epoch 1/100
2025-10-24 15:18:41,467 - Epoch 1/100
2025-10-30 12:12:21,982 - Epoch 1/100
2025-10-30 12:15:04,821 - Epoch 1/100
2025-10-30 12:15:37,471 - Epoch 1/100
2025-10-30 12:16:40,705 - Epoch 1/100
2025-10-30 12:17:27,916 - Epoch 1/100
2025-10-30 12:25:08,770 - Epoch 1/100
2025-10-30 12:26:55,179 - Epoch 1/100
2025-10-30 12:30:15,786 - Epoch 1/100
2025-10-30 12:31:04,415 - Epoch 1/100
2025-10-30 12:32:32,499 - Epoch 1/100
2025-10-30 12:36:58,215 - Epoch 1/100
